name,number,rarity,url,name_detail,element,hp,defense,crafting_speed,melee_attack,shot_attack,price,stamina,support,running_speed,sprinting_speed,slow_walk_speed,work_suitability,partner_skill,passive_skills,active_skills,possible_drops
Elphidran,80,Rare,https://palworld.gg/pal/elphidran,Elphidran,Dragon,110,90,100,80,80,5230,130,100,630,800,83,Gathering; Cooling; Deforesting (Lv); Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Amicable Holy Dragon
Can be ridden as a flying mount.
While flying, movement speed is increased.
While fighting together, COMMON_ELEMENT_NAME_Dark Pals drop more items when defeated.",,"Dragon Cannon
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 4000
Hurls an energy ball imbued
with draconic energy at an enemy.
Dragon Burst
- Lv 7
Power:
55
Cooldown:
10
Range:
0 - 200
Quickly discharges draconic energy,
damaging those around it.
Flare Arrow
- Lv 15
Power:
55
Cooldown:
10
Range:
500 - 5000
Fires three flaming arrows in succession
that home in on an enemy.
Mystic Whirlwind
- Lv 22
Power:
70
Cooldown:
10
Range:
0 - 3000
Elphidran's exclusive skill.
Generates twin whirlwinds imbued with a mysterious power
that pursues enemies.
Draconic Breath
- Lv 30
Power:
70
Cooldown:
15
Range:
500 - 1500
Exhales breath imbued with draconic energy,
dealing continuous damage to those in front of it.
Pal Blast
- Lv 40
Power:
150
Cooldown:
55
Range:
500 - 1800
Charges destructive energy before firing
a high-powered beam forward across a wide area.
Dragon Meteor
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 5000
Summons numerous small meteorites
and launches them at an enemy.",(hover over item to see description) Item Amount Rate High Quality Pal Oil 2 - 3 100%
Elphidran Aqua,80,Epic,https://palworld.gg/pal/elphidran-aqua,Elphidran Aqua,Dragon,115,95,100,80,80,5320,130,100,630,800,83,Gathering; Cooling; Deforesting (Lv); Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering (Lv),"Amicable Water Dragon
Can be ridden as a flying mount.
While flying, movement speed is increased.
While fighting together, COMMON_ELEMENT_NAME_Fire Pals drop more items when defeated.",,"Aqua Gun
- Lv 1
Power:
40
Cooldown:
4
Range:
500 - 5000
Hurls a ball of water
straight at an enemy.
Dragon Cannon
- Lv 7
Power:
30
Cooldown:
2
Range:
500 - 4000
Hurls an energy ball imbued
with draconic energy at an enemy.
Dragon Burst
- Lv 15
Power:
55
Cooldown:
10
Range:
0 - 200
Quickly discharges draconic energy,
damaging those around it.
Mystic Whirlwind
- Lv 22
Power:
70
Cooldown:
10
Range:
0 - 3000
Elphidran's exclusive skill.
Generates twin whirlwinds imbued with a mysterious power
that pursues enemies.
Acid Rain
- Lv 30
Power:
80
Cooldown:
18
Range:
100 - 1000
Creates acidic clouds that
pour down acid rain on enemies.
Hydro Laser
- Lv 40
Power:
150
Cooldown:
55
Range:
500 - 1800
Shoots pressurized water at extreme velocities,
sweeping over a wide area in front of it.
Dragon Meteor
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 5000
Summons numerous small meteorites
and launches them at an enemy.",(hover over item to see description) Item Amount Rate High Quality Pal Oil 2 - 3 100%
Enchanted Sword,-1,Common,https://palworld.gg/pal/enchanted-sword,Enchanted Sword,Normal,95,90,100,100,105,3000,100,100,600,900,50,Gathering; Cooling; Deforesting (Lv); Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Enchant
While fighting together, COMMON_ELEMENT_NAME_Dark Pals drop more items when defeated.",,"Sword Charge
- Lv 1
Power:
80
Cooldown:
2
Range:
0 - 1200
YakushimaMonster002's exclusive skill. 
Lunges forward to deliver a sharp thrust.",(hover over item to see description) Item Amount Rate Hallowed Bar 2 - 4 100%
Eye of Cthulhu,-1,Rare,https://palworld.gg/pal/eye-of-cthulhu,Eye of Cthulhu,Dark,110,95,100,100,105,3000,100,100,900,1200,100,Gathering; Cooling; Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting (Lv); Watering,"Mad Eye Lunge
When activated, YakushimaBoss001 charges and attacks targeted enemy.",,"Lock-On Lunge
- Lv 1
Power:
100
Cooldown:
15
Range:
1500 - 3000
YakushimaBoss001's exclusive skill. 
Repeatedly charges at the enemy.
Servant Call
- Lv 2
Power:
50
Cooldown:
10
Range:
0 - 1000
YakushimaBoss001's exclusive skill. 
Summons four Servants that charge at enemies to deal damage. 
Servants disappear after taking damage or after a short time.",(hover over item to see description) Item Amount Rate Hallowed Bar 2 - 2 100%
Faleris,105,Epic,https://palworld.gg/pal/faleris,Faleris,Fire,100,110,100,100,105,6720,230,90,1000,1400,150,Gathering; Cooling; Deforesting; Kindling (Lv); Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting (Lv); Watering,"Scorching Predator
Can be ridden as a flying mount.
While fighting together, COMMON_ELEMENT_NAME_Ice Pals drop more items when defeated.",,"Ignis Blast
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 5000
Hurls a ball of fire 
straight at an enemy.
Flare Arrow
- Lv 7
Power:
55
Cooldown:
10
Range:
500 - 5000
Fires three flaming arrows in succession
that home in on an enemy.
Spirit Fire
- Lv 15
Power:
45
Cooldown:
7
Range:
1000 - 3000
Shoots fireballs towards an enemy. 
The fireballs explode after a short distance, 
generating smaller fireballs that spread forward.
Ignis Breath
- Lv 22
Power:
70
Cooldown:
15
Range:
500 - 1500
Shoots flames at an enemy,
dealing continuous damage.
Phoenix Flare
- Lv 30
Power:
135
Cooldown:
28
Range:
500 - 3000
Horus' exclusive skill.
After creating scorching tornadoes, it cloaks itself in hellfire and charges forward.
Ignis Rage
- Lv 40
Power:
120
Cooldown:
40
Range:
100 - 1000
Infuses the surrounding ground with energy, 
causing it to explode after a set amount of time.
Fire Ball
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 9999
Creates a giant ball of flame and hurls it at an enemy.
The ball explodes over a wide area upon impact.
Raging Flame Wave
- Lv 55
Power:
145
Cooldown:
38
Range:
0 - 3000
Faleris' exclusive skill.
Generates multiple scorching tornadoes and charges forward while gliding.
The tornadoes converge in the center and eventually merge into a single massive tornado.",(hover over item to see description) Item Amount Rate Flame Organ 1 - 4 100%
Faleris Aqua,105,Epic,https://palworld.gg/pal/faleris-aqua,Faleris Aqua,Water,100,110,100,100,110,7260,230,90,1000,1400,150,Gathering; Cooling; Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting (Lv); Watering (Lv),"Tidal Predator
Can be ridden as a flying mount.
While fighting together, COMMON_ELEMENT_NAME_Fire Pals drop more items when defeated.",,"Hydro Jet
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 5000
Hurls a high speed ball of water
at an enemy.
Bubble Blast
- Lv 7
Power:
65
Cooldown:
13
Range:
1000 - 3500
Fires numerous bubbles
that slowly pursue an enemy.
Acid Rain
- Lv 15
Power:
80
Cooldown:
18
Range:
100 - 1000
Creates acidic clouds that
pour down acid rain on enemies.
Splash
- Lv 22
Power:
90
Cooldown:
22
Range:
0 - 9999
Generates a column of water that travels in a straight line.
Curtain Splash
- Lv 30
Power:
120
Cooldown:
40
Range:
0 - 9999
Continously creates walls made from water columns at the enemy's location.
Phoenix Tide
- Lv 40
Power:
135
Cooldown:
28
Range:
500 - 3000
Horus_Water's exclusive skill.
After summoning a massive tornado, it envelops its body in water and charges forward.
Hydro Laser
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 1800
Shoots pressurized water at extreme velocities,
sweeping over a wide area in front of it.",(hover over item to see description) Item Amount Rate Pal Fluids 2 - 4 100%
Felbat,94,Rare,https://palworld.gg/pal/felbat,Felbat,Dark,100,110,100,100,105,2100,100,110,550,700,60,Gathering; Cooling; Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production (Lv); Planting; Transporting; Watering,"Life Steal
While fighting together, grants the player and CatVampire the life steal effect
which absorbs some of the received damage and restores COMMON_STATUS_HP.",,"Poison Blast
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 3000
Hurls poison sludge
at an enemy.
Dark Ball
- Lv 7
Power:
40
Cooldown:
4
Range:
500 - 1000
Unleashes a sphere of darkness 
that slowly tracks down an enemy.
Shadow Burst
- Lv 15
Power:
55
Cooldown:
10
Range:
0 - 300
Quickly discharges dark energy,
damaging those around it.
Spirit Flame
- Lv 22
Power:
75
Cooldown:
16
Range:
500 - 5000
Fires three balls of malice
that relentlessly pursue an enemy.
Nightmare Ball
- Lv 30
Power:
100
Cooldown:
30
Range:
1000 - 9999
Creates a giant ball of darkness
and hurls it at an enemy.
Ignis Rage
- Lv 40
Power:
120
Cooldown:
40
Range:
100 - 1000
Infuses the surrounding ground with energy, 
causing it to explode after a set amount of time.
Dark Laser
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 1800
Charges dark energy before
blasting enemies with a powerful beam.",(hover over item to see description) Item Amount Rate Cloth 1 - 2 100% Small Pal Soul 1 - 1 3%
Fenglope,93,Common,https://palworld.gg/pal/fenglope,Fenglope,Normal,110,90,100,110,110,2250,140,100,750,1050,85,Gathering; Cooling; Deforesting (Lv); Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Wind and Clouds
Can be ridden.
Can double jump while mounted.",,"Air Cannon
- Lv 1
Power:
25
Cooldown:
2
Range:
500 - 4000
Quickly fires a burst of highly pressurized air.
Aqua Gun
- Lv 7
Power:
40
Cooldown:
4
Range:
500 - 5000
Hurls a ball of water
straight at an enemy.
Cloud Tempest
- Lv 15
Power:
90
Cooldown:
15
Range:
550 - 2000
FengyunDeeper's exclusive skill.
Charges forward while manipulating the atmosphere
to create a pressurized wind tunnel around itself.
Acid Rain
- Lv 22
Power:
80
Cooldown:
18
Range:
100 - 1000
Creates acidic clouds that
pour down acid rain on enemies.
Aqua Burst
- Lv 30
Power:
100
Cooldown:
30
Range:
1000 - 9999
Creates a giant ball of water
and hurls it at an enemy.
Blizzard Spike
- Lv 40
Power:
130
Cooldown:
45
Range:
1000 - 9999
Creates a giant lump of ice and hurls it at an enemy.
It deals damage to those in the surrounding area upon impact.
Pal Blast
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 1800
Charges destructive energy before firing
a high-powered beam forward across a wide area.",(hover over item to see description) Item Amount Rate Leather 3 - 3 100% Horn 2 - 2 100%
Fenglope Lux,93,Common,https://palworld.gg/pal/fenglope-lux,Fenglope Lux,Electricity,110,90,100,110,115,2720,140,100,750,1050,85,Gathering; Cooling; Deforesting (Lv); Kindling; Generating Electricity (Lv); Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Stormcloud
Can be ridden.
Can double jump while mounted.
While fighting together, COMMON_ELEMENT_NAME_Water Pals drop more items when defeated.",,"Shockwave
- Lv 1
Power:
40
Cooldown:
4
Range:
0 - 300
Quickly discharges electricity,
shocking those around it.
Lightning Streak
- Lv 7
Power:
75
Cooldown:
16
Range:
500 - 2000
Generates a lightning bolt 
that moves forward in a line.
Acid Rain
- Lv 15
Power:
80
Cooldown:
18
Range:
100 - 1000
Creates acidic clouds that
pour down acid rain on enemies.
Thunder Tempest
- Lv 22
Power:
90
Cooldown:
15
Range:
550 - 2000
Charges forward while manipulating the atmosphere 
and enveloping itself in thunderclouds.
Thunder Rain
- Lv 30
Power:
135
Cooldown:
45
Range:
0 - 2000
Calls lightning that strikes an enemy
after a set amount of time has passed.
Lightning Bolt
- Lv 40
Power:
150
Cooldown:
55
Range:
500 - 3000
Charges electric energy before
blasting enemies with a powerful shock.
Thunderstorm
- Lv 50
Power:
160
Cooldown:
60
Range:
0 - 5000
Generates a huge tornado of lightning
that moves slowly towards the enemy.",(hover over item to see description) Item Amount Rate Leather 3 - 3 100% Horn 2 - 2 100% Electric Organ 1 - 2 100%
Finsider,152,Common,https://palworld.gg/pal/finsider,Finsider,Water,75,80,100,100,85,1100,100,100,250,400,25,Gathering; Cooling; Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting (Lv); Watering (Lv),"Echo Chamber
While in team, StuffedShark helps carry supplies, decreasing the weight of weapons in the player's inventory.",,"Aqua Gun
- Lv 1
Power:
40
Cooldown:
4
Range:
500 - 5000
Hurls a ball of water
straight at an enemy.
Bubble Blast
- Lv 7
Power:
65
Cooldown:
13
Range:
1000 - 3500
Fires numerous bubbles
that slowly pursue an enemy.
Power Bomb
- Lv 15
Power:
70
Cooldown:
15
Range:
1000 - 9999
Charges a massive amount of energy
before firing a large destructive ball.
Torrential Blast
- Lv 22
Power:
110
Cooldown:
35
Range:
500 - 3000
Fires a high-pressure stream of water forward.
After a short delay, the stream branches off to the left and right.
Trigger Happy
- Lv 30
Power:
115
Cooldown:
24
Range:
0 - 4000
StuffedShark's exclusive skill.
Draws twin water blasters from its mouth, firing six shots alternately left and right,
then finishes by combining both blasters to unleash one powerful shot.
Curtain Splash
- Lv 40
Power:
120
Cooldown:
40
Range:
0 - 9999
Continously creates walls made from water columns at the enemy's location.
Hydro Laser
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 1800
Shoots pressurized water at extreme velocities,
sweeping over a wide area in front of it.",(hover over item to see description) Item Amount Rate Leather 1 - 1 100% Small Pal Soul 1 - 1 1% Pal Fluids 1 - 2 100%
Finsider Ignis,152,Common,https://palworld.gg/pal/finsider-ignis,Finsider Ignis,Fire,75,80,100,100,90,1290,100,100,250,400,25,Gathering; Cooling; Deforesting; Kindling (Lv); Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting (Lv); Watering (Lv),"Ember Chamber
While in team, StuffedShark_Fire helps carry supplies, decreasing the weight of weapons in the player's inventory. 
Also increases attack power of COMMON_ELEMENT_NAME_Fire Pals.",,"Ignis Blast
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 5000
Hurls a ball of fire 
straight at an enemy.
Spirit Fire
- Lv 7
Power:
45
Cooldown:
7
Range:
1000 - 3000
Shoots fireballs towards an enemy. 
The fireballs explode after a short distance, 
generating smaller fireballs that spread forward.
Ignis Breath
- Lv 15
Power:
70
Cooldown:
15
Range:
500 - 1500
Shoots flames at an enemy,
dealing continuous damage.
Splash
- Lv 22
Power:
90
Cooldown:
22
Range:
0 - 9999
Generates a column of water that travels in a straight line.
Trigger Happy
- Lv 30
Power:
115
Cooldown:
24
Range:
0 - 4000
StuffedShark's exclusive skill.
Draws twin water blasters from its mouth, firing six shots alternately left and right,
then finishes by combining both blasters to unleash one powerful shot.
Flame Funnel
- Lv 40
Power:
120
Cooldown:
40
Range:
0 - 5000
Creates multiple spheres of fiery energy,
from which countless fireballs shoot towards the enemy.
Fire Ball
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 9999
Creates a giant ball of flame and hurls it at an enemy.
The ball explodes over a wide area upon impact.",(hover over item to see description) Item Amount Rate Leather 1 - 1 100% Small Pal Soul 1 - 1 1% Flame Organ 1 - 3 100%
Flambelle,70,Common,https://palworld.gg/pal/flambelle,Flambelle,Fire,60,80,100,100,70,2500,100,100,250,375,65,Gathering; Cooling; Deforesting; Kindling (Lv); Generating Electricity; Handiwork (Lv); Mining; Farming (Lv); Oil Extracting; Medicine Production; Planting; Transporting (Lv); Watering,"Magma Tears
Sometimes produces FireOrgan
when assigned to MonsterFarm.",,"Ignis Blast
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 5000
Hurls a ball of fire 
straight at an enemy.
Spirit Fire
- Lv 7
Power:
45
Cooldown:
7
Range:
1000 - 3000
Shoots fireballs towards an enemy. 
The fireballs explode after a short distance, 
generating smaller fireballs that spread forward.
Flare Arrow
- Lv 15
Power:
55
Cooldown:
10
Range:
500 - 5000
Fires three flaming arrows in succession
that home in on an enemy.
Spirit Flame
- Lv 22
Power:
75
Cooldown:
16
Range:
500 - 5000
Fires three balls of malice
that relentlessly pursue an enemy.
Flare Storm
- Lv 30
Power:
80
Cooldown:
18
Range:
700 - 3000
Generates two flaming tornadoes on either side 
before launching them at an enemy.
Ignis Rage
- Lv 40
Power:
120
Cooldown:
40
Range:
100 - 1000
Infuses the surrounding ground with energy, 
causing it to explode after a set amount of time.
Fire Ball
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 9999
Creates a giant ball of flame and hurls it at an enemy.
The ball explodes over a wide area upon impact.",(hover over item to see description) Item Amount Rate Flame Organ 2 - 3 100% High Quality Pal Oil 1 - 1 100%
Flopie,28,Common,https://palworld.gg/pal/flopie,Flopie,Leaf,75,70,100,100,65,1220,100,100,400,550,100,Gathering (Lv); Cooling; Deforesting; Kindling; Generating Electricity; Handiwork (Lv); Mining; Farming; Oil Extracting; Medicine Production (Lv); Planting (Lv); Transporting (Lv); Watering,"Helper Bunny
While in team, appears near the player.
Automatically picks up nearby items.",,"Wind Cutter
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 5000
Fires a high speed blade of wind
that flies straight at an enemy.
Air Cannon
- Lv 7
Power:
25
Cooldown:
2
Range:
500 - 4000
Quickly fires a burst of highly pressurized air.
Hydro Jet
- Lv 15
Power:
30
Cooldown:
2
Range:
500 - 5000
Hurls a high speed ball of water
at an enemy.
Seed Machine Gun
- Lv 22
Power:
50
Cooldown:
9
Range:
0 - 300
Fires a volley of hard seeds
at enemies in front of it.
Bubble Blast
- Lv 30
Power:
65
Cooldown:
13
Range:
1000 - 3500
Fires numerous bubbles
that slowly pursue an enemy.
Grass Tornado
- Lv 40
Power:
80
Cooldown:
18
Range:
700 - 3000
Generates two tornadoes on either side 
before launching them at an enemy.
Solar Blast
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 1800
Charges solar energy before
blasting enemies with a powerful beam.",(hover over item to see description) Item Amount Rate Low Grade Medical Supplies 1 - 1 20% Wheat Seeds 1 - 1 100% Potato Seeds 1 - 1 50%
Foxcicle,57,Rare,https://palworld.gg/pal/foxcicle,Foxcicle,Ice,90,105,100,100,95,3730,100,100,600,750,65,Gathering; Cooling (Lv); Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Aurora Guide
While in team, increases attack power of COMMON_ELEMENT_NAME_Ice Pals.",,"Air Cannon
- Lv 1
Power:
25
Cooldown:
2
Range:
500 - 4000
Quickly fires a burst of highly pressurized air.
Ice Missile
- Lv 7
Power:
30
Cooldown:
3
Range:
800 - 3000
Creates ice lances in the air
that fly towards enemies.
Icicle Cutter
- Lv 15
Power:
55
Cooldown:
10
Range:
500 - 4000
Creates a crescent blade of ice
and hurls it forward.
Spirit Flame
- Lv 22
Power:
75
Cooldown:
16
Range:
500 - 5000
Fires three balls of malice
that relentlessly pursue an enemy.
Iceberg
- Lv 30
Power:
70
Cooldown:
15
Range:
100 - 9999
Summons a sharp ice lance
under an enemy.
Crystal Breath
- Lv 40
Power:
90
Cooldown:
22
Range:
100 - 1000
Enshrouds an enemy in a frigid blast of air,
dealing continuous damage.
Blizzard Spike
- Lv 50
Power:
130
Cooldown:
45
Range:
1000 - 9999
Creates a giant lump of ice and hurls it at an enemy.
It deals damage to those in the surrounding area upon impact.",(hover over item to see description) Item Amount Rate Leather 1 - 1 100% Ice Organ 2 - 3 100%
Foxparks,5,Common,https://palworld.gg/pal/foxparks,Foxparks,Fire,65,70,100,70,75,1040,100,100,400,550,40,Gathering; Cooling; Deforesting; Kindling (Lv); Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Huggy Fire
When activated, equips to the player
and transforms into a flamethrower.",,"Ignis Blast
- Lv 1
Power:
30
Cooldown:
2
Range:
500 - 5000
Hurls a ball of fire 
straight at an enemy.
Bog Blast
- Lv 7
Power:
40
Cooldown:
4
Range:
500 - 3000
Hurls sticky mud
at an enemy.
Spirit Fire
- Lv 15
Power:
45
Cooldown:
7
Range:
1000 - 3000
Shoots fireballs towards an enemy. 
The fireballs explode after a short distance, 
generating smaller fireballs that spread forward.
Flare Arrow
- Lv 22
Power:
55
Cooldown:
10
Range:
500 - 5000
Fires three flaming arrows in succession
that home in on an enemy.
Ignis Breath
- Lv 30
Power:
70
Cooldown:
15
Range:
500 - 1500
Shoots flames at an enemy,
dealing continuous damage.
Spirit Flame
- Lv 40
Power:
75
Cooldown:
16
Range:
500 - 5000
Fires three balls of malice
that relentlessly pursue an enemy.
Fire Ball
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 9999
Creates a giant ball of flame and hurls it at an enemy.
The ball explodes over a wide area upon impact.",(hover over item to see description) Item Amount Rate Leather 1 - 1 100% Flame Organ 1 - 2 100%
Foxparks Cryst,5,Common,https://palworld.gg/pal/foxparks-cryst,Foxparks Cryst,Ice,65,70,100,70,80,1410,100,100,400,550,40,Gathering; Cooling (Lv); Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Huggy Frost
When activated, equips to the player
and attacks using frigid air.",,"Ice Missile
- Lv 1
Power:
30
Cooldown:
3
Range:
800 - 3000
Creates ice lances in the air
that fly towards enemies.
Hydro Jet
- Lv 7
Power:
30
Cooldown:
2
Range:
500 - 5000
Hurls a high speed ball of water
at an enemy.
Icicle Cutter
- Lv 15
Power:
55
Cooldown:
10
Range:
500 - 4000
Creates a crescent blade of ice
and hurls it forward.
Iceberg
- Lv 22
Power:
70
Cooldown:
15
Range:
100 - 9999
Summons a sharp ice lance
under an enemy.
Crystal Breath
- Lv 30
Power:
90
Cooldown:
22
Range:
100 - 1000
Enshrouds an enemy in a frigid blast of air,
dealing continuous damage.
Icicle Bullet
- Lv 40
Power:
110
Cooldown:
35
Range:
100 - 3000
Generates multiple sharp ice blocks in the sky
and fires them at the enemy.
Blizzard Spike
- Lv 50
Power:
130
Cooldown:
45
Range:
1000 - 9999
Creates a giant lump of ice and hurls it at an enemy.
It deals damage to those in the surrounding area upon impact.",(hover over item to see description) Item Amount Rate Leather 1 - 2 100% Ice Organ 1 - 3 100%
Frostallion,110,Legendary,https://palworld.gg/pal/frostallion,Frostallion,Ice,140,120,100,100,140,8440,300,70,1200,1800,120,Gathering; Cooling (Lv); Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Ice Steed
Can be ridden as a flying mount.
Changes the player's attack type to COMMON_ELEMENT_NAME_Ice
and enhances COMMON_ELEMENT_NAME_Ice attacks while mounted.","Legend
Rank 4
Attack +20%
Defense +20%
Movement Speed increases 15%
Ice Emperor
Rank 3
20% increase in Ice attack damage.","Air Cannon
- Lv 1
Power:
25
Cooldown:
2
Range:
500 - 4000
Quickly fires a burst of highly pressurized air.
Ice Missile
- Lv 7
Power:
30
Cooldown:
3
Range:
800 - 3000
Creates ice lances in the air
that fly towards enemies.
Icicle Cutter
- Lv 15
Power:
55
Cooldown:
10
Range:
500 - 4000
Creates a crescent blade of ice
and hurls it forward.
Iceberg
- Lv 22
Power:
70
Cooldown:
15
Range:
100 - 9999
Summons a sharp ice lance
under an enemy.
Crystal Wing
- Lv 30
Power:
110
Cooldown:
24
Range:
0 - 2500
Frostallion's exclusive skill.
Dashes forward while concentrating frigid air around its wings,
using them to slash enemies with icy blade.
Crystal Breath
- Lv 40
Power:
90
Cooldown:
22
Range:
100 - 1000
Enshrouds an enemy in a frigid blast of air,
dealing continuous damage.
Blizzard Spike
- Lv 50
Power:
130
Cooldown:
45
Range:
1000 - 9999
Creates a giant lump of ice and hurls it at an enemy.
It deals damage to those in the surrounding area upon impact.
Holy Burst
- Lv 55
Power:
120
Cooldown:
30
Range:
0 - 9999
Creates a wide explosion of light
at the enemy's location and around it.
Double Blizzard Spike
- Lv 60
Power:
200
Cooldown:
60
Range:
1000 - 9999
Creates two huge ice blocks
and fires them at the enemy one after another.
On impact, it also shocks those close by.",(hover over item to see description) Item Amount Rate Ice Organ 10 - 10 100% Diamond 1 - 1 100%
Frostallion Noct,110,Legendary,https://palworld.gg/pal/frostallion-noct,Frostallion Noct,Dark,140,135,100,100,140,8560,300,70,1200,1800,120,Gathering (Lv); Cooling; Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Black Steed
Can be ridden as a flying mount.
Changes the player's attack type to COMMON_ELEMENT_NAME_Dark
and enhances COMMON_ELEMENT_NAME_Dark attacks while mounted.","Legend
Rank 4
Attack +20%
Defense +20%
Movement Speed increases 15%
Lord of the Underworld
Rank 3
20% increase in Dark attack damage.","Air Cannon
- Lv 1
Power:
25
Cooldown:
2
Range:
500 - 4000
Quickly fires a burst of highly pressurized air.
Dark Ball
- Lv 7
Power:
40
Cooldown:
4
Range:
500 - 1000
Unleashes a sphere of darkness 
that slowly tracks down an enemy.
Shadow Burst
- Lv 15
Power:
55
Cooldown:
10
Range:
0 - 300
Quickly discharges dark energy,
damaging those around it.
Spirit Flame
- Lv 22
Power:
75
Cooldown:
16
Range:
500 - 5000
Fires three balls of malice
that relentlessly pursue an enemy.
Crystal Wing
- Lv 30
Power:
110
Cooldown:
24
Range:
0 - 2500
Frostallion's exclusive skill.
Dashes forward while concentrating frigid air around its wings,
using them to slash enemies with icy blade.
Nightmare Ball
- Lv 40
Power:
100
Cooldown:
30
Range:
1000 - 9999
Creates a giant ball of darkness
and hurls it at an enemy.
Dark Laser
- Lv 50
Power:
150
Cooldown:
55
Range:
500 - 1800
Charges dark energy before
blasting enemies with a powerful beam.
Double Blizzard Spike
- Lv 55
Power:
200
Cooldown:
60
Range:
1000 - 9999
Creates two huge ice blocks
and fires them at the enemy one after another.
On impact, it also shocks those close by.
Dark Whisp
- Lv 60
Power:
160
Cooldown:
45
Range:
0 - 1500
Fires a menacing ball of dark energy that pursues enemies.",(hover over item to see description) Item Amount Rate Pure Quartz 10 - 10 100% Large Pal Soul 1 - 1 100%
Frostplume,143,Common,https://palworld.gg/pal/frostplume,Frostplume,Ice,110,100,100,100,100,1460,100,100,500,750,50,Gathering (Lv); Cooling (Lv); Deforesting; Kindling; Generating Electricity; Handiwork; Mining; Farming; Oil Extracting; Medicine Production; Planting; Transporting; Watering,"Peacock Pounce
While fighting together, SnowPeafowl's icy aura sharpens your focus, improving reload speed.",,"Ice Missile
- Lv 1
Power:
30
Cooldown:
3
Range:
800 - 3000
Creates ice lances in the air
that fly towards enemies.
Icicle Cutter
- Lv 7
Power:
55
Cooldown:
10
Range:
500 - 4000
Creates a crescent blade of ice
and hurls it forward.
Iceberg
- Lv 15
Power:
70
Cooldown:
15
Range:
100 - 9999
Summons a sharp ice lance
under an enemy.
Crystal Breath
- Lv 22
Power:
90
Cooldown:
22
Range:
100 - 1000
Enshrouds an enemy in a frigid blast of air,
dealing continuous damage.
Freeze Wall
- Lv 30
Power:
100
Cooldown:
30
Range:
0 - 5000
Creates a wall of ice that rises from the ground.
The ice wall remains standing for a while,
and breaks after taking enough damage.
Icicle Bullet
- Lv 40
Power:
110
Cooldown:
35
Range:
100 - 3000
Generates multiple sharp ice blocks in the sky
and fires them at the enemy.
Diamond Rain
- Lv 50
Power:
160
Cooldown:
60
Range:
0 - 9999
Creates numerous lumps of ice that are
consecutively dropped on a foe's head.",(hover over item to see description) Item Amount Rate Ice Organ 1 - 2 100%
